,,,,,,,,,,,,,,,,,,
Volledige bewijspassages,,,,,,,,,,,,,,,,,,
Uitsluitend oorspronkelijke gemeentelijke akkoorden. De passage is kort gehouden maar letterlijk; PDF-pagina is leidend.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Evidence-ID,Gemeente,Route,Regio,Provincie,Bron-ID,Exacte bestandsnaam,PDF-pagina,Gedrukte pagina,Letterlijke passage,Hoofdthema’s,Subthema’s,Kop/context,Passage-intensiteit,Concreetheid,Aard primair,Aard secundair,OCR,Herkomst codering
H14-0001,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,9,,"Het veengebied kent een rijke cultuurhistorie. Met het oog op spreiding van toeristische druk en ontwikkelingen, zoals de Nedersaksenlijn, verkennen we hoe de toeristische ontwikkeling van dit gebied kan worden versterkt, waarbij de historie zichtbaar wordt en het verhaal van het veen wordt verteld.",T03; T11,"T03: Spoor, stations, tram en metro; T11: Interbestuurlijke samenwerking","Pijler 3: Economie, landbouw, natuur en",2,2,Samenwerkingsvraag,Probleem,Nee,H14 volledige paginatekstscan
H14-0002,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,10,18–19,We zetten ons in voor goede toegankelijkheid van natuurgebieden voor zowel inwoners als bezoekers. Wandelen en fietsen moeten mogelijk blijven. Daarom blijven we in gesprek met terreinbeherende organisaties over plannen en ontwikkelingen in deze gebieden.,T02,T02: Voetgangersnetwerk en lopen,,2,2,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0003,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,10,,En blijven we werken aan een samenhangend en aantrekkelijk netwerk van wandel- en fietsroutes.,T02,T02: Voetgangersnetwerk en lopen,,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0004,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,10,,En blijven we werken aan een samenhangend en aantrekkelijk netwerk van wandel- en fietsroutes. Hierover maken we afspraken met het Recreatieschap Drenthe. We zetten in ieder geval in op de realisatie van een fietspad langs de Hunze.,T02; T11,T02: Voetgangersnetwerk en lopen; T11: Overig binnen afbakening,,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0005,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,10,,Wandelen en fietsen moeten mogelijk blijven. Daarom blijven we in gesprek met terreinbeherende organisaties over plannen en ontwikkelingen in deze gebieden.,T02; T11,"T02: Voetgangersnetwerk en lopen; T11: Visies, programma’s en uitvoering",,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0006,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,12,,"We geven uitvoering aan de projecten uit het Mobiliteitsplan. Wanneer daarbij dilemma’s ontstaan tussen verkeersveiligheid, snelheid en het behoud van openbaar vervoer, zoeken we naar een zorgvuldig compromis waarbij het openbaar vervoer behouden blijft.",T01; T03; T04; T11,"T01: Veilige inrichting en snelheid; T03: Bus en openbaar vervoer; T04: Overig binnen afbakening; T11: Visies, programma’s en uitvoering",,2,2,Beleidsopdracht,Probleem,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0007,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,12,,"Als plattelandsgemeente is het behoud van openbaar vervoer van groot belang, maar dit levert soms dilemma’s op.",T03; T08,T03: Bus en openbaar vervoer; T08: Overig binnen afbakening,,1,1,Probleem,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0008,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,12,22–23,"Die spanning speelt ook breder binnen de gemeente, zoals bij het onderhoud van wegen en de inrichting van openbare ruimte.",T10,T10: Wegenbeheer en onderhoudsniveau,,1,3,Probleem,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0009,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,12,,We willen het wegenonderhoud op een aanvaardbaar niveau houden en zien dat een impuls nodig is. In het wegenbeleidsplan leggen we vast op welke wijze we hier invulling aan kunnen geven met een combinatie van structurele en incidentele investeringen.,T10; T11,"T10: Wegenbeheer en onderhoudsniveau; T11: Visies, programma’s en uitvoering",,3,3,Probleem,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0010,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,12,,"Als plattelandsgemeente is het behoud van openbaar vervoer van groot belang, maar dit levert soms dilemma’s op. De kern van de opgave op het gebied van voorzieningen en leefbaarheid is het vinden van een goede balans tussen wensen, kwaliteit en financiële haalbaarheid, met oog voor veranderende behoeften in de toekomst.",T03; T06,T03: Bus en openbaar vervoer; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling,,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
