,,,,,,,,,,,,,,,,,,,,,
Register van alle aangetroffen bestanden,,,,,,,,,,,,,,,,,,,,,
Overgenomen uit de goedgekeurde invoercontrole; exacte bestandsnamen en classificaties blijven behouden.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
source_id,zipdeel,pad in bronset,bestandsnaam,gemeente of regio,aansluittype,regio,documenttype,bestuursperiode,pagina's,tekstkwaliteit,teksttekens,tekens/pagina,analyse_status,primair telbaar,omvang MB,SHA-256,metadata titel,versleuteld,PDF-versie,opmerking,exacte hash-doublure
SRC-001,Deel 1,part1/Aa en Hunze.pdf,Aa en Hunze.pdf,Aa en Hunze,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,15,Goed,29881,1992.1,Gereed,Ja,7.35,6dfa18c277e4ac1dab6dd851d3c26b9c28b18c48734e37cbc6c2f7a4c3220d9c,,no,1.4,,Nee
SRC-002,Deel 1,part1/Alkmaar.pdf,Alkmaar.pdf,Alkmaar,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,54,Goed,108096,2001.8,Gereed,Ja,2.57,bef969635784f3b34ad4bc85ba4e299ba522853af5fcf38175c9a51281f4a907,,no,1.5,,Nee
SRC-003,Deel 1,part1/Almelo.pdf,Almelo.pdf,Almelo,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,23,Goed,67855,2950.2,Gereed,Ja,4.35,1a1ae2ba8ff61f6c14f1902f33c83bb20aef158467f264078260ce180ade4503,,no,1.7,,Nee
SRC-004,Deel 1,part1/Almere 2026.pdf,Almere 2026.pdf,Almere,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,38,Goed,47811,1258.2,Gereed,Ja,4.79,8d5684c3184e55ca04c64e492033392971c56cfd85d032fd2a88283613be1ea1,,no,1.7,,Nee
SRC-005,Deel 1,part1/Alphen.pdf,Alphen.pdf,Alphen aan den Rijn,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,64,Goed,136956,2139.9,Gereed,Ja,4.7,2bcbe52f4e3dc9e0e0b272b32e9fbd91775be9b63efd35a2b13550a7a3242c51,Coalitieakkoord Alphen aan den Rijn 2026 – 2030,no,1.7,Bestandsnaam afgekort; gekoppeld aan Alphen aan den Rijn.,Nee
SRC-006,Deel 1,part1/Altena.pdf,Altena.pdf,Altena,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,32,Goed,31106,972.1,Gereed,Ja,24.65,e87a243fadfccfb9a3120671c68a26eb03531cb25d1241a60162872d192f439d,A4-Bestuursakkoord-2026-2030,no,1.7,,Nee
SRC-007,Deel 1,part1/Amesfoort.pdf,Amesfoort.pdf,Amersfoort,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,56,Goed,70760,1263.6,Gereed,Ja,6.74,1c1ce8fb4c49dbf539e11170f9ac3d2de569876f3a2beda922e869f8b05c53ba,Coalitieakkoord 2026 - 2030 Stad in Verbinding,no,1.7,Bestandsnaam bevat typefout; gekoppeld aan Amersfoort.,Nee
SRC-008,Deel 1,part1/Amsterdam.pdf,Amsterdam.pdf,Amsterdam,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,70,Goed,136414,1948.8,Gereed,Ja,5.52,73b8d826d02a1e80aa99760cba240e10ca033e4bf426e3010dc55f4d762b7c25,Samen bouwen aan de kansen van de jeugd,no,1.4,,Nee
SRC-009,Deel 1,part1/Apeldoorn.pdf,Apeldoorn.pdf,Apeldoorn,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,35,Goed,45446,1298.5,Gereed,Ja,8.28,6355501cd1b546907bf486460da2488b500e2c2f61a274693d8e37fd2d0dadf9,Coalitieakkoord 2026-2030,no,1.7,,Nee
SRC-010,Deel 1,part1/Arnhem.pdf,Arnhem.pdf,Arnhem,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,34,Goed,100743,2963,Gereed,Ja,0.59,507f2e0d803b692b7047e4e0264e1c5178decabe931821ae611a29e8f57c07aa,Arnhems coalitieakkoord 2026-2030,no,1.7,,Nee
