,,,,,,,,,,,,,,
Akkoord–thema–bewijskoppeling,,,,,,,,,,,,,,
Iedere positieve intensiteit heeft minimaal één bewijs-ID. Afwezigheid blijft expliciet als 0 staan.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gemeente,Route,Regio,Provincie,Bron-ID,Bestand,Code,Thema,Intensiteit,Prominentie,Concreetheid,# bewijs,Bewijs-ID’s,Pagina’s,Basis
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,2,2,2,2,H14-0006; H14-0011,12,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,T02,"Lopen, fietsen en actieve mobiliteit",2,2,2,4,H14-0002; H14-0003; H14-0004; H14-0005,10,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",2,2,2,4,H14-0001; H14-0006; H14-0007; H14-0010,9; 12,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",2,2,2,1,H14-0006,12,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,T05,Parkeren en ruimte voor stilstaande mobiliteit,0,0,0,0,,,H14: geen inhoudelijke passage aangetroffen
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",1,1,1,1,H14-0010,12,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,T07,"Duurzame, gedeelde en slimme mobiliteit",0,0,0,0,,,H14: geen inhoudelijke passage aangetroffen
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,T08,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,1,1,1,1,H14-0007,12,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",0,0,0,0,,,H14: geen inhoudelijke passage aangetroffen
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,T10,"Beheer, onderhoud en civiele infrastructuur",3,2,3,3,H14-0008; H14-0009; H14-0013,12; 14,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,T11,"Uitvoering, samenwerking, financiering en kennis",3,3,3,6,H14-0001; H14-0004; H14-0005; H14-0006; H14-0009; H14-0012,9; 10; 12,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,3,3,3,22,H14-0029; H14-0030; H14-0031; H14-0034; H14-0035; H14-0036; H14-0037; H14-0039; H14-0041; H14-0042; H14-0044; H14-0045; H14-0048; H14-0049; H14-0056; H14-0057; H14-0059; H14-0063; H14-0066; H14-0068; H14-0079; H14-0081,26; 27; 28; 45; 47,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,T02,"Lopen, fietsen en actieve mobiliteit",3,3,3,24,H14-0014; H14-0015; H14-0017; H14-0018; H14-0019; H14-0028; H14-0029; H14-0031; H14-0035; H14-0037; H14-0038; H14-0040; H14-0044; H14-0045; H14-0050; H14-0051; H14-0055; H14-0056; H14-0059; H14-0060; H14-0066; H14-0074; H14-0081; H14-0087,11; 15; 18; 24; 26; 27; 28; 47,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
