Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,T08,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,2,3,2,3,H14-0413; H14-0421; H14-0440,8; 12; 16,H14 tweede volledige lezing (aselecte controleset)
Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",2,2,2,2,H14-0422; H14-0436,12,H14 tweede volledige lezing (aselecte controleset)
Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,T10,"Beheer, onderhoud en civiele infrastructuur",0,0,0,1,H14-0423,12,H14 tweede volledige lezing (aselecte controleset)
Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,T11,"Uitvoering, samenwerking, financiering en kennis",2,3,2,10,H14-0413; H14-0416; H14-0420; H14-0432; H14-0436; H14-0437; H14-0442; H14-0444; H14-0445; H14-0447,8; 11; 12; 13; 17; 27; 30,H14 tweede volledige lezing (aselecte controleset)
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,2,3,2,6,H14-0455; H14-0456; H14-0469; H14-0472; H14-0495; H14-0498,7; 25; 32,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,T02,"Lopen, fietsen en actieve mobiliteit",2,3,2,8,H14-0457; H14-0459; H14-0460; H14-0469; H14-0475; H14-0478; H14-0480; H14-0494,7; 21,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",2,2,2,2,H14-0457; H14-0479,7,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",2,3,2,6,H14-0452; H14-0456; H14-0459; H14-0460; H14-0462; H14-0465,5; 7,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,T05,Parkeren en ruimte voor stilstaande mobiliteit,3,3,3,19,H14-0451; H14-0453; H14-0458; H14-0459; H14-0462; H14-0464; H14-0466; H14-0467; H14-0468; H14-0470; H14-0473; H14-0474; H14-0476; H14-0477; H14-0481; H14-0482; H14-0487; H14-0496; H14-0497,5; 7; 8; 31; 32,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",2,3,2,12,H14-0449; H14-0453; H14-0454; H14-0456; H14-0469; H14-0471; H14-0472; H14-0483; H14-0490; H14-0491; H14-0492; H14-0493,2; 5; 7; 8; 12; 20,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,T07,"Duurzame, gedeelde en slimme mobiliteit",2,2,2,3,H14-0461; H14-0463; H14-0489,7; 11,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,T08,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,1,2,1,3,H14-0450; H14-0492; H14-0493,2; 20,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",2,3,2,7,H14-0460; H14-0483; H14-0484; H14-0485; H14-0486; H14-0488; H14-0489,7; 8; 11,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,T10,"Beheer, onderhoud en civiele infrastructuur",0,0,0,0,,,H14 gerichte anomaliecontrole volgens inclusie-/exclusieregel
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,T11,"Uitvoering, samenwerking, financiering en kennis",2,3,2,6,H14-0468; H14-0473; H14-0478; H14-0486; H14-0487; H14-0493,7; 8; 20,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Barneveld,Rechtstreeks,Rechtstreeks,Gelderland,SRC-011,Barneveld.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,2,3,2,5,H14-0501; H14-0504; H14-0505; H14-0515; H14-0518,14; 24,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Barneveld,Rechtstreeks,Rechtstreeks,Gelderland,SRC-011,Barneveld.pdf,T02,"Lopen, fietsen en actieve mobiliteit",1,1,1,1,H14-0506,24,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Barneveld,Rechtstreeks,Rechtstreeks,Gelderland,SRC-011,Barneveld.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",2,2,2,2,H14-0507; H14-0513,24,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
