,,,,,,,,,,
Definitieve aanbevelingen voor de GNMI-agenda,,,,,,,,,,
Nichethema’s zijn niet uitsluitend op frequentie beoordeeld. De goedgekeurde portfolio-keuzes zijn verwerkt.,,,,,,,,,,
,,,,,,,,,,
Categorie,ID,Onderwerp,Advies,Akkoorden,% van 85,Gem. intensiteit,Direct,Regio’s,Interventie,Bronpassages
Huidig,C1,"Verkeersveiligheid, veilige inrichting en handhaving",intensiveren,81,0.9529411764705882,2.376470588235294,42,4,"Bundel ontwerpkennis, gedragsaanpak, juridische borging en monitoring voor 30 km/GOW30, schoolroutes en veilige inrichting.","H14-2982 | Tilburg, p. 53; H14-1721 | Haarlem, p. 17; H14-2359 | Midden-Groningen, p. 8"
Huidig,C2,"Multimodale bereikbaarheid, OV en toegankelijkheid",intensiveren,84,0.9882352941176471,2.8705882352941177,44,4,"Versterk de gezamenlijke lijn voor toegankelijk OV, hubs, kleine kernen en structurele financiering met Rijk, provincies en vervoerders.","H14-0399 | Amsterdam, p. 53; H14-1744 | Haarlem, p. 28; H14-0661 | Beverwijk, p. 15"
Huidig,C3,"Duurzame, actieve en gedeelde mobiliteit en zero-emissie",actualiseren of verbreden,80,0.9411764705882353,2.3411764705882354,44,4,"Integreer duurzaamheid en zero-emissie volledig in dit cluster en werk met uitvoerbare modellen voor lopen, fietsen, delen, laden en schone voertuigen.","H14-0399 | Amsterdam, p. 53; H14-0661 | Beverwijk, p. 15; H14-2220 | Maastricht, p. 15"
Huidig,C4,"Mobiliteit, woningbouw, ruimte, parkeren en leefbaarheid",intensiveren,84,0.9882352941176471,2.552941176470588,44,4,"Maak woningbouw, ruimte, parkeren en leefbaarheid één uitvoeringsagenda met toepasbare afwegingskaders.","H14-0399 | Amsterdam, p. 53; H14-2956 | Stein, p. 34; H14-3552 | Zaanstad, p. 5"
Huidig,C5,"Mobiliteitsdata, digitalisering, kennis en uitvoeringskracht",actualiseren of verbreden,82,0.9647058823529412,2.6470588235294117,43,4,"Integreer governance, financiering en interbestuurlijke samenwerking; maak een herkenbaar spoor voor data/AI en uitvoeringskracht.","H14-0399 | Amsterdam, p. 53; H14-2526 | Overbetuwe, p. 7; H14-1744 | Haarlem, p. 28"
Huidig,W1,Taxi,laagfrequent maar als niche behouden,3,0.03529411764705882,0.058823529411764705,3,0,"Behoud Taxi als tijdelijke expertgroep en kennisuitwisseling rond wetgeving, toezicht, data, sociale veiligheid en zero-emissie.","H14-1708 | Haarlem, p. 14; H14-0381 | Amsterdam, p. 52; H14-0867 | Den Haag, p. 14"
Huidig,W2,Stadslogistiek,afbouwen,15,0.17647058823529413,0.2823529411764706,14,1,Bouw Stadslogistiek als afzonderlijke lijn af en borg bruikbare onderdelen onder duurzaamheid/zero-emissie en ruimte/leefomgeving.,"H14-2974 | Tilburg, p. 48; H14-1121 | Dordrecht, p. 57; H14-0936 | Deventer, p. 21"
Huidig,W3,Parkeren,actualiseren of verbreden,68,0.8,1.9529411764705882,41,4,"Behoud Parkeren en actualiseer normen, toegankelijkheid, laden, deelmobiliteit, betaalbaarheid en handhaving.","H14-0399 | Amsterdam, p. 53; H14-2956 | Stein, p. 34; H14-3552 | Zaanstad, p. 5"
Huidig,W4,Verkeersjuridische zaken,laagfrequent maar als niche behouden,1,0.011764705882352941,0.023529411764705882,1,0,"Behoud expertgroep en juridisch loket voor modelbesluiten, jurisprudentie en scholing; nichewaarde hangt niet af van akkoordfrequentie.","H14-0048 | Alkmaar, p. 27"
Huidig,W5,Aanpak geluidsoverlast,onderbrengen bij een ander thema,8,0.09411764705882353,0.17647058823529413,5,3,"Beëindig Geluidsoverlast als afzonderlijke lijn en borg meet-, gedrags- en handhavingskennis in leefomgeving, duurzaamheid en verkeersveiligheid.","H14-2982 | Tilburg, p. 53; H14-0908 | Deventer, p. 19; H14-1980 | Horst aan de Maas, p. 79"
Huidig,D1,"Toegankelijkheid, inclusie en brede welvaart",onderbrengen bij een ander thema,59,0.6941176470588235,1.5411764705882354,32,4,"Gebruik toegankelijkheid en inclusie als verplichte toets in C2 en C4, zonder zelfstandige programmalijn.","H14-1285 | Eindhoven, p. 11; H14-0377 | Amsterdam, p. 52; H14-1692 | Gulpen-Wittem, p. 23"
Huidig,D2,"Data, bewijs, monitoring en digitalisering",onderbrengen bij een ander thema,20,0.23529411764705882,0.5529411764705883,11,3,"Borg data, monitoring en digitalisering als vaste werkwijze binnen C5 en in de inhoudelijke clusters.","H14-0399 | Amsterdam, p. 53; H14-2982 | Tilburg, p. 53; H14-2770 | Rotterdam, p. 17"
Huidig,D3,"Ruimte, woningbouw en leefomgeving",behouden,83,0.9764705882352941,2.458823529411765,43,4,"Behoud ruimte, woningbouw en leefomgeving als dwarsdoorsnijdende toets binnen C4 en relevante werkterreinen.","H14-3552 | Zaanstad, p. 5; H14-2220 | Maastricht, p. 15; H14-2177 | Lingewaard, p. 19"
Huidig,D4,"Gedrag, participatie en handhaving",onderbrengen bij een ander thema,26,0.3058823529411765,0.5058823529411764,18,4,"Borg gedrag, participatie en handhaving onder verkeersveiligheid en uitvoering/kennis.","H14-3578 | Zaanstad, p. 7; H14-2764 | Rotterdam, p. 17; H14-2551 | Peel en Maas, p. 8"
Huidig,D5,Duurzaamheid en zero-emissie,onderbrengen bij een ander thema,80,0.9411764705882353,2.3411764705882354,44,4,Integreer duurzaamheid en zero-emissie volledig in C3; geen afzonderlijke capaciteitsclaim.,"H14-0399 | Amsterdam, p. 53; H14-0661 | Beverwijk, p. 15; H14-2220 | Maastricht, p. 15"
Huidig,D6,"Governance, financiering en interbestuurlijke samenwerking",onderbrengen bij een ander thema,82,0.9647058823529412,2.6470588235294117,43,4,"Integreer governance, financiering en interbestuurlijke samenwerking volledig in C5.","H14-0399 | Amsterdam, p. 53; H14-2526 | Overbetuwe, p. 7; H14-1744 | Haarlem, p. 28"
Nieuw/onderbelicht,N01,"Beheer, vervanging en financiering van civiele mobiliteitsassets",introduceren of positioneren,57,0.6705882352941176,2.245614035087719,31,4,"Start een programmaspoor Assetmanagement en vervanging met een handreiking voor conditiemeting, risicoprioritering en meerjarenprogrammering; verken daarna gezamenlijk de financieringspositie met Rijk en provincies.","H14-0383 | Amsterdam, p. 52; H14-2300 | Middelburg, p. 22; H14-0009 | Aa en Hunze, p. 12; H14-2015 | Houten, p. 35; H14-0799 | Coevorden, p. 7"
Nieuw/onderbelicht,N02,Rijks- en provinciale hoofdwegen en grootschalige wegprojecten,introduceren of positioneren,45,0.5294117647058824,1.8222222222222222,26,0,"Bouw een gezamenlijke hoofdnetten- en projectenportefeuille met een vast dossierformat en periodieke gezamenlijke positiebepaling; betrek ministerie, Rijkswaterstaat en provincies.","H14-2285 | Middelburg, p. 12; H14-2175 | Lingewaard, p. 19; H14-2418 | Mook en Middelaar, p. 16; H14-1416 | Emmen, p. 15; H14-1595 | Groningen, p. 25"
