,,,,,,,,
Definitieve codeboom T01–T11,,,,,,,,
Definities en afbakeningen zijn tijdens H14 niet gewijzigd.,,,,,,,,
,,,,,,,,
Code,Type,Thema,Definitie,Subthema’s,Inclusie,Exclusie,Zoektermen,Vaste positie
T01,Inhoudelijk hoofdthema,Verkeersveiligheid en veilig verkeersgedrag,"Beleid dat het risico op verkeersslachtoffers, verkeersonveiligheid of onveilig verkeersgedrag vermindert.",Veilige inrichting en snelheid; schoolroutes en kwetsbare verkeersdeelnemers; handhaving en educatie; fatbikes/e-bikes en snelheidsverschillen,"Expliciete verkeersveiligheidsdoelen; 30 km met veiligheidsmotief; veilige schoolroutes, kruispunten en oversteekplaatsen; verkeershandhaving en -educatie.","Sociale veiligheid, criminaliteit en algemene woorden als ‘veilige buurt’ zonder verkeerscontext. Een wegproject dat uitsluitend doorstroming dient valt onder T04.","verkeersveilig*, verkeersslachtoffer*, onveilig verkeer, 30 km, snelheidsremm*, verkeersdrempel*, schoolroute*, schoolstraat, oversteek*, kruispunt*, fatbike*, verkeerseducatie, verkeershandhaving",Behouden als zelfstandig hoofdthema; gedrag en fysieke inrichting blijven aparte subcodes.
T02,Inhoudelijk hoofdthema,"Lopen, fietsen en actieve mobiliteit",Beleid voor verplaatsingen te voet of per fiets en voor de bijbehorende netwerken en voorzieningen.,Voetgangersnetwerk; fietsnetwerk en ontbrekende schakels; doorfiets- en snelfietsroutes; fietsparkeren en routekwaliteit,"Wandel- en fietspaden, doorfietsroutes, fietsstraten, fietsbruggen, fietsparkeren, voetgangersruimte en actieve mobiliteitsstimulering.","Wandelen of fietsen uitsluitend als sport, recreatie of toeristisch product zonder verplaatsings- of infrastructuurfunctie. Veiligheidsmaatregelen worden aanvullend onder T01 gecodeerd.","fiets*, lopen, wandel*, voetganger*, doorfietsroute, snelfietsroute, fietspad, fietsstraat, fietsring, fietsbrug, fietsparkeren, fietsstalling, missing link, actieve mobiliteit",Behouden als zelfstandig hoofdthema; recreatieve routes alleen opnemen bij een expliciete netwerk- of bereikbaarheidsfunctie.
T03,Inhoudelijk hoofdthema,"Openbaar, collectief en vraagafhankelijk vervoer","Beleid voor collectieve vervoersdiensten en de infrastructuur, knooppunten en concessies die deze diensten mogelijk maken.","Bus, tram en metro; spoor en stations; buurt-, wijk- en vraagafhankelijk vervoer; haltes, overstappen en OV-knooppunten","Bus, trein, tram, metro, HOV/BRT, concessies, stations, haltes, buurtbus, wijkbus, publiek vervoer en vraagafhankelijk vervoer.","Algemene bereikbaarheid zonder benoemde collectieve vervoersvorm. Doelgroepenvervoer dat alleen als zorg- of aanbestedingstaak wordt genoemd, telt pas mee bij een mobiliteitsinhoudelijke uitwerking.","openbaar vervoer, OV, bus*, trein*, spoor*, station*, tram, metro, buurtbus, wijkbus, vraagafhankelijk vervoer, publiek vervoer, doelgroepenvervoer, halte*, concessie, HOV, BRT, Lelylijn, Nedersaksenlijn",Behouden als zelfstandig hoofdthema; betaalbaarheid en toegankelijkheid daarnaast als dwarscodering T08.
T04,Inhoudelijk hoofdthema,"Autoverkeer, wegennet, doorstroming en ontsluiting","Beleid voor de functie, capaciteit en circulatie van het wegennet en voor bereikbaarheid per auto of gemotoriseerd verkeer.","Hoofdwegen en corridors; ringen, rondwegen en aansluitingen; verkeerscirculatie en autoluwte; verkeersdruk, sluipverkeer en ontsluiting","Rondwegen, ringwegen, tunnels, hoofdontsluitingen, aansluitingen op provinciale of rijkswegen, verkeerscirculatie, doorstroming en autoluwe ingrepen met een netwerkdoel.",Een 30-km-maatregel die uitsluitend als veiligheidsmaatregel is beschreven (T01); vrachtverkeer met een specifieke goederen- of logistieke functie (T09); parkeren (T05).,"auto*, wegennet, ontsluiting, doorstroming, hoofdroute, corridor, ringweg, randweg, rondweg, tunnel, verkeerscirculatie, verkeersdruk, sluipverkeer, bestemmingsverkeer, aansluiting, autoluw, verkeersluw",Behouden als zelfstandig hoofdthema; bij autoluwte bepaalt het primaire doel of T04 of T06 de hoofdcode is.
T05,Inhoudelijk hoofdthema,Parkeren en ruimte voor stilstaande mobiliteit,"Beleid voor capaciteit, regulering, prijs, normen en ruimtelijke inpassing van parkeer- en stallingsvoorzieningen.","Capaciteit en parkeerdruk; tarieven, vergunningen en zones; parkeernormen; garages, P+R en randparkeren","Parkeerplaatsen, parkeerdruk, parkeernormen, vergunningen, betaald parkeren, blauwe zones, parkeergarages en P+R.","Fietsparkeren valt onder T02. Een mobiliteitshub zonder parkeerfunctie valt onder T03 of T07. Parkeren dat slechts als opsomming bij woningbouw staat, telt maximaal als T05-1.","parkeren, parkeerplaats, parkeerdruk, parkeernorm, parkeervergunning, betaald parkeren, blauwe zone, P+R, parkeergarage, parkeerhub, randparkeren, stop & shop, stop & sport",Behouden als zelfstandig hoofdthema; fietsparkeren blijft bij T02 om inhoudelijke dubbeltelling te beperken.
T06,Inhoudelijk hoofdthema,"Mobiliteit in ruimte, woningbouw en leefomgeving","Integratie van mobiliteit met gebiedsontwikkeling, woningbouw, openbare ruimte, gezondheid, groen en ruimtelijke kwaliteit.","Knooppunt- en gebiedsontwikkeling; mobiliteit bij woningbouw; herverdeling openbare ruimte; leefbaarheid, gezondheid en ruimtelijke principes","STOMP/STROMP, mobiliteit vanaf de start van gebiedsontwikkeling, woningbouw bij knooppunten, complete wijken, ruimteherverdeling en integrale openbare-ruimtekeuzes.",Losse infrastructuurprojecten zonder ruimtelijke integratie; algemene ruimtelijke ambities waarin mobiliteit niet inhoudelijk is uitgewerkt.,"gebiedsontwikkeling, woningbouw en mobiliteit, openbare ruimte, ruimte verdelen, mobiliteitstransitie, STOMP, STROMP, 15-minutenstad, omgevingsvisie, verdichting, knooppuntontwikkeling, leefbaarheid","Behouden als zelfstandig hoofdthema; een expliciete integrale koppeling is vereist, niet alleen nabijheid van woorden."
T07,Inhoudelijk hoofdthema,"Duurzame, gedeelde en slimme mobiliteit","Beleid dat vervoerswijzen, voertuigen of mobiliteitsdiensten schoner, gedeeld, digitaal ondersteund of innovatief organiseert.","Deelmobiliteit; laad- en zero-emissie-infrastructuur; mobiliteitshubs en ketendiensten; pilots, data, monitoring en slimme sturing","Deelauto’s, deelfietsen, deelscooters, laadpalen, elektrisch vervoer, zero-emissie, mobiliteitshubs, MaaS, slimme routekeuzes, pilots en monitoring.",Een algemene duurzaamheidsambitie zonder mobiliteitsmaatregel; regulier OV zonder innovatie-element (T03); energiehubs zonder vervoersfunctie.,"deelmobiliteit, deelauto, deelfiets, deelscooter, mobiliteitshub, smart mobility, slimme mobiliteit, laadpaal, laadinfrastructuur, elektrisch rijden, zero-emissie, emissieloos, modal shift, mobiliteitsdiensten, MaaS, pilot, monitor*",Behouden als hoofdthema met vaste subcodes; na volledige codering toetsen of ‘schoon’ en ‘gedeeld/slim’ empirisch uiteenlopen.
T08,Inhoudelijk hoofdthema en gelijkheidslens,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,"Beleid dat mobiliteit bruikbaar en betaalbaar maakt voor specifieke groepen of dat isolement van dorpen, kernen en buitengebied voorkomt.",Mensen met een beperking en ouderen; betaalbaarheid en minima; bereikbaarheid kleine kernen en buitengebied; doelgroepen- en wijkvervoer,"Barrièrevrije haltes en openbare ruimte, betaalbaar/gratis vervoer, minima- of doelgroepregelingen, dorpsbereikbaarheid en mobiliteit voor ouderen of minder mobiele inwoners.","Algemene toegankelijkheid als synoniem voor bereikbaarheid; algemene OV-uitbreiding zonder doelgroep, betaalbaarheid of territoriale achterstand.","toegankelijk*, betaalbaar vervoer, minima, ouderen, beperking, minder mobiel, inclusieve mobiliteit, dorpen bereikbaar, kleine kernen, buitengebied, Wmo-vervoer, leerlingenvervoer, gratis OV, Meedoenpas, barrièrevrij",Behouden; inhoudelijk thema én dwarslens. Bij rapportage niet optellen bij modaliteiten zonder expliciete afzonderlijke telling.
T09,Inhoudelijk hoofdthema,"Goederenvervoer, logistiek en bijzondere vervoersstromen","Beleid voor goederenstromen, bevoorrading, vracht, havens, vaarwegen en specifieke vervoersmarkten zoals luchtvaart en taxi.","Stads- en last-mile-logistiek; vracht- en agro-logistiek; havens, scheepvaart en vaarwegen; luchtvaart, taxi en toeristische vervoersstromen","Vrachtverkeer, distributie, goederen- of logistieke hubs, bevoorrading, havens, scheepvaart, nautische bereikbaarheid, luchthavenbeleid en taxi.",Algemeen autoverkeer zonder goederenfunctie (T04); recreatief varen zonder bereikbaarheids- of infrastructuurbeleid; bedrijventerrein alleen als economische locatie.,"logistiek, vracht*, goederenvervoer, bevoorrading, venstertijd, last mile, overslag, haven, scheepvaart, vaarweg, maritiem, distributie, truckparking, truckersplaza, luchthaven, airport, taxi, agro-logistiek",Behouden als paraplu met afzonderlijke subcodes; zeldzame modaliteiten zichtbaar houden en niet kunstmatig samenvoegen in rapportage.
T10,Inhoudelijk hoofdthema,"Beheer, onderhoud en civiele infrastructuur","Beleid voor instandhouding, vervanging en technische kwaliteit van wegen, bruggen, kades, tunnels, sluizen en andere mobiliteitsassets.","Wegenbeheer en onderhoudsniveau; bruggen, kades, sluizen en tunnels; vervanging en renovatie; assetmanagement, verlichting en beheerplanning","Planmatig onderhoud, beheerplannen, vervangingsinvesteringen, civiele kunstwerken, bruggen, kades, sluizen, tunnels en mobiliteitsgebonden verlichting.","Nieuwe aanleg die uitsluitend netwerkcapaciteit toevoegt (T04); riolering, energie- of digitale infrastructuur zonder mobiliteitsfunctie; algemeen groenbeheer.","onderhoud, beheer, vervanging, renovatie, assetmanagement, wegenbeheer, civiel*, brug*, kade*, sluis*, tunnel, openbare verlichting, kunstwerk, areaal, beheerplan, achterstallig onderhoud",Behouden als zelfstandig hoofdthema; nieuwe aanleg alleen secundair coderen wanneer een civiel kunstwerk of beheeropgave expliciet centraal staat.
