,,,
Volledige eindcontrole,,,
De controle is uitgevoerd vóór publicatie van de concept-1.0-bestanden.,,,
,,,
Controlepunt,Waarde,Norm,Status
Geanalyseerde akkoorden,85,85,OK
Rechtstreeks + via regio,85,85,OK
Akkoord–themacombinaties,935,935,OK
Positieve score zonder bewijs,0,0,OK
Unieke bewijs-ID’s,3672,3672,OK
Regiogemeenten in vier onderlagen,41,41,OK
Achterhoek numerieke score,,,OK
Top-vijfcodes,"T06, T01, T02, T03, T04","T06, T01, T02, T03, T04",OK
H14 scorewijzigingen,194,informatief,OK
Afgeleide samenvattingen als bewijs,0,0,OK
