,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeentelijke GNMI-indicatoren,,,,,,,,,,,,,,,,,,,,,,,,,
Een gemeente telt per GNMI-thema maximaal één keer. W- en D-thema’s leveren geen extra scoregewicht op.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Route,Regio,Provincie,Bron-ID,Bestand,A,B,C-alt,Totaal,C1,C2,C3,C4,C5,W1,W2,W3,W4,W5,D1,D2,D3,D4,D5,D6
Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,7,9,6.25,22.25,2,3,2,1,3,0,0,0,0,0,1,0,1,0,2,3
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,10,10,10,30,3,3,3,3,3,0,2,3,2,2,3,2,3,2,3,3
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,8,9,2.5,19.5,1,3,3,2,3,0,0,2,0,0,0,0,2,0,3,3
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,7,9,7.5,23.5,2,3,2,2,1,0,2,2,0,0,2,0,2,0,2,1
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,9,10,10,29,3,3,3,3,3,0,1,3,0,0,2,0,3,0,3,3
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,8,9,3.75,20.75,2,3,2,1,3,0,0,0,0,0,3,0,1,0,2,3
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,9,10,5,24,2,3,2,3,3,0,0,3,0,0,2,3,3,2,2,3
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,10,10,10,30,3,3,3,3,3,2,2,3,0,0,3,3,3,0,3,3
Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,10,10,7.5,27.5,3,3,3,3,2,0,0,2,0,0,2,1,3,0,3,2
Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,8,10,6.25,24.25,2,3,2,3,2,0,1,3,0,0,1,0,2,2,2,2
