,,,,,,,,,,,,
Vastgezette GNMI-referentiematrix,,,,,,,,,,,,
Peildatum 15 augustus 2026; vastgesteld en geraadpleegd 27 augustus 2026. Niet aangepast aan de akkoorden.,,,,,,,,,,,,
,,,,,,,,,,,,
2,C1,Prioriteitscluster,"Verkeersveiligheid, veilige inrichting en handhaving","Gemeentelijke inzet op het voorkomen van slachtoffers via veilige inrichting, risicogestuurd beleid, gedrag en geloofwaardige naleving.",SPV; risicogestuurde aanpak; 30 km/u; GOW30; veilige schoolomgeving en schoolroutes; Human Factors; fiets- en voetgangersveiligheid; data/ITS/ISA; handhaving; participatie,verkeersveilig*; verkeersslachtoffer*; 30 km; GOW30; schoolzone; schoolroute; veilige inrichting; human factors; gedrag; handhaving; ISA; SPV; fietsongeval*,actueel prioritair,0.2,GNMI Verkeersveiligheid; GNMI Wetenschap; GNMI Verkeersjuridische Zaken,"Gedrag, data, inclusie, ruimte en juridische uitvoerbaarheid",S02; S09; S18-S21; S28; S39,Vastgesteld 2026-08-27; bevroren na fase 1
2,C2,Prioriteitscluster,"Multimodale bereikbaarheid, OV en toegankelijkheid","Bereikbaarheid van bestemmingen voor alle groepen, via samenhang tussen OV, lopen, fietsen, auto, hubs en doelgroepenvervoer.",OV; haltes en stations; hubs; doelgroepenvervoer; toegankelijkheid; brede welvaart; sociale inclusie; eerlijke bereikbaarheid; kleine kernen; route- en reisinformatie,bereikbaarheid; openbaar vervoer; OV; halte; station; hub; knooppunt; doelgroepenvervoer; toegankelijk*; inclusie; brede welvaart; eerlijke bereikbaarheid; kleine kern*,actueel prioritair,0.2,GNMI OV; GNMI Mobiliteit; GNMI Wetenschap,"Ruimtelijke ordening, woningbouw, inclusie, data en financiering",S01; S05; S08; S16; S17; S19; S25,Vastgesteld 2026-08-27; bevroren na fase 1
2,C3,Prioriteitscluster,"Duurzame, actieve en gedeelde mobiliteit en zero-emissie","Transitie naar schonere en ruimte-efficiënte mobiliteit door lopen, fietsen, delen, elektrificatie en zero-emissie vervoer/logistiek.",lopen; fietsen; deelmobiliteit; autoluwe en autovrije concepten; elektrificatie; laadinfrastructuur; zero-emissie taxi en doelgroepenvervoer; duurzame stadslogistiek,duurzame mobiliteit; lopen; wandelen; fiets*; actieve mobiliteit; deelmobiliteit; deelauto; autoluw; autovrij; elektrisch; zero-emissie; laadinfra; schone logistiek,actueel prioritair,0.2,GNMI Mobiliteit; GNMI OV; GNMI Taxi; GNMI Stadslogistiek,"Ruimte, leefbaarheid, toegankelijkheid, gedrag en data",S01; S05; S08; S10-S11; S16; S22-S23; S31; S37-S38,Vastgesteld 2026-08-27; bevroren na fase 1
2,C4,Prioriteitscluster,"Mobiliteit, woningbouw, ruimte, parkeren en leefbaarheid","Integrale afweging van mobiliteit met woningbouw, openbare ruimte, parkeerbeleid, economische functies en een gezonde leefomgeving.",woningbouw en woon-werkverkeer; mobiliteitstransitie; Omgevingswet/ruimtelijke inrichting; parkeernormen en regulering; hubs; schaarse ruimte; verkeersgeluid; verblijfskwaliteit,woningbouw; gebiedsontwikkeling; ruimtelijke ontwikkeling; openbare ruimte; mobiliteitstransitie; parkeernorm; parkeerbeleid; leefbaarheid; verkeersgeluid; hub; omgevingswet,actueel prioritair,0.2,GNMI Mobiliteit; GNMI Parkeren; GNMI OV; GNMI Stadslogistiek; GNMI Geluidsoverlast,"Bereikbaarheid, duurzaamheid, inclusie, gedrag en bestuurlijke keuzes",S01; S05; S08; S11-S13; S16-S17; S24; S29-S30; S40,Vastgesteld 2026-08-27; bevroren na fase 1
2,C5,Prioriteitscluster,"Mobiliteitsdata, digitalisering, AI, kennisontwikkeling en toekomstbestendige uitvoering","Versterking van gemeentelijke kennis, datagebruik en uitvoeringsvermogen, inclusief verantwoord AI-gebruik en verbinding tussen wetenschap en praktijk.",mobiliteitsdata; OV-data; monitoring; data-analyse; digitalisering; AI-geletterdheid; kennisbehoefte; wetenschap-praktijk; innovatie; uitvoeringskracht; juridische kennis,mobiliteitsdata; datagedreven; digitalisering; kunstmatige intelligentie; AI; monitoring; kennisontwikkeling; wetenschap; innovatie; uitvoering*; beleidspraktijk; Juridisch Loket,actueel prioritair,0.2,GNMI Wetenschap; GNMI Mobiliteit; GNMI Verkeersveiligheid; GNMI OV; GNMI Verkeersjuridische Zaken,Alle inhoudelijke clusters; bestuurlijke capaciteit en leren,S05-S09; S19-S20; S26-S28; S33,Vastgesteld 2026-08-27; bevroren na fase 1
0,W1,Specifiek werkterrein,Taxi,"Gemeentelijke beleids- en uitvoeringsvragen rond straattaxi, kwaliteit, wetgeving, handhaving en verduurzaming.",Wp2000; taxistandplaatsen; ritprijzen; sociale veiligheid; toezicht en handhaving; zero-emissie; doelgroepenvervoer; data-uitwisseling,taxi; straattaxi; Wp2000; taxistandplaats; ritprijs; ritweigering; taxihandhaving; zero-emissie taxi; doelgroepenvervoer,niche maar collectief relevant,0,GNMI Taxi,"Verkeersrecht, inclusie, zero-emissie en data",S02; S10; S22; S27,Afzonderlijk zichtbaar; geen extra scoregewicht
0,W2,Specifiek werkterrein,Stadslogistiek,Gemeentelijke sturing op goederenstromen in stedelijk gebied en de ruimtelijke en duurzame inrichting daarvan.,logistieke hubs; pakketkluizen; venstertijden; routering; bouwlogistiek; bevoorrading; logistieke ruimte; vervoer over water; innovatie,stadslogistiek; goederenvervoer; logistieke hub; pakketkluis; venstertijd; bouwlogistiek; bevoorrading; routering; zero-emissiezone,niche maar collectief relevant,0,GNMI Stadslogistiek,"Duurzaamheid, ruimte, economie, data en handhaving",S02; S11; S23; S27; S37-S38,Afzonderlijk zichtbaar; geen extra scoregewicht
0,W3,Specifiek werkterrein,Parkeren,"Gemeentelijke ordening, normering, regulering en handhaving van parkeren als schakel tussen mobiliteit en ruimte.",parkeernormen; betaald parkeren; handhaving; draagvlak; betaalbaarheid; gehandicaptenparkeerkaart; garages versus straat; deelmobiliteit; opladen,parkeren; parkeernorm; betaald parkeren; parkeerregime; parkeerhandhaving; draagvlak; betaalbaarheid; parkeergarage; gehandicaptenparkeerkaart,structureel,0,GNMI Parkeren,"Woningbouw, openbare ruimte, inclusie, deelmobiliteit en laadinfra",S02; S12; S24-S25,Afzonderlijk zichtbaar en tevens onderdeel van C4; geen extra scoregewicht
0,W4,Specifiek werkterrein,Verkeersjuridische zaken,"Toepassing van verkeerswetgeving en jurisprudentie in gemeentelijke besluiten, bezwaar, bebording en handhaving.",WVW; RVV; verkeersbesluiten; jurisprudentie; bezwaar en beroep; onderhoud; bebording; parkeren; snelheidsregimes; Juridisch Loket,verkeersjuridisch; verkeersbesluit; WVW; RVV; jurisprudentie; bezwaar; beroep; bebording; juridische loket; handhaafbaar,structureel,0,GNMI Verkeersjuridische Zaken,"Veilige inrichting, geloofwaardige handhaving, parkeren en uitvoering",S02; S07; S28,Afzonderlijk zichtbaar; geen extra scoregewicht
0,W5,Specifiek werkterrein,Aanpak geluidsoverlast,"Aanpak van piekgeluid en verkeerslawaai door voertuiggedrag, voertuigaanpassingen, toezicht, ontwerp en techniek.",piekgeluid; lawaaiige voertuigen; voertuigmodificatie; gedrag; geluidsdisplay; sensoren/data; BOA/politie; leefbaarheid,verkeerslawaai; geluidsoverlast; piekgeluid; lawaaivoertuig; voertuigmodificatie; geluidsdisplay; handhaving geluid; leefbaarheid,niche maar collectief relevant,0,GNMI Aanpak Geluidsoverlast (onder GNMI Verkeersveiligheid),"Leefbaarheid, gedrag, data, handhaving en interbestuurlijke samenwerking",S02; S13; S29-S30,Afzonderlijk zichtbaar; geen extra scoregewicht
0,B1,Bestuurlijk-organisatorisch,Bestuur en vereniging,"Formele besluitvorming, programmasturing, begroting, verantwoording en dienstverlening van de vereniging GNMI.",Dagelijks Bestuur; Algemene Vergadering; jaarplan; begroting; contributies; financiële verantwoording; dienstverlening; bestuurlijke kennisuitwisseling,Dagelijks Bestuur; Algemene Vergadering; jaarplan; begroting; contributie; verantwoording; vereniging; dienstverlening; bestuursadvies,structureel,0,Dagelijks Bestuur; Algemene Vergadering,Randvoorwaarde voor alle clusters; geen inhoudelijk scorecluster,S02; S14-S15; S36,Bestuurlijke laag; geen scoregewicht
0,D1,Dwarsdoorsnijdend,"Toegankelijkheid, inclusie en brede welvaart","Toegang tot mobiliteit en bestemmingen voor uiteenlopende leeftijden, inkomens en beperkingen.",toegankelijke openbare ruimte; sociale inclusie; ouderen; doelgroepenvervoer; betaalbaarheid; eerlijke bereikbaarheid,toegankelijk*; inclusie; brede welvaart; ouderen; beperking; doelgroepenvervoer; betaalbaarheid; eerlijke bereikbaarheid,structureel,0,GNMI Mobiliteit; GNMI OV; GNMI Parkeren; GNMI Verkeersveiligheid,"C1, C2, C3 en C4",S01; S05; S08-S10; S16-S17; S25,Dwarsdoorsnijdend; niet afzonderlijk scoren
0,D2,Dwarsdoorsnijdend,"Data, bewijs, monitoring en digitalisering","Gebruik van gegevens en digitale middelen voor beleidsvorming, ontwerp, uitvoering en evaluatie.",mobiliteitsdata; OV-data; verkeersveiligheidsdata; sensoren; monitoring; AI; route-informatie; gegevensdeling,data; monitoring; sensor; dashboard; digitalisering; AI; datagedreven; informatievoorziening; gegevensdeling,structureel,0,GNMI Mobiliteit; GNMI OV; GNMI Verkeersveiligheid; GNMI Taxi; GNMI Wetenschap,C1-C5,S05-S10; S20; S22; S26-S27; S30,Dwarsdoorsnijdend; niet afzonderlijk scoren
