,,,,,,,,,,,,,,,,,,
Spiegelanalyse van de vastgezette GNMI-agenda,,,,,,,,,,,,,,,,,,
De referentiematrix blijft ongewijzigd. Specifieke en dwarsdoorsnijdende onderwerpen zijn zichtbaar zonder extra gewicht in Score B.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ID,Soort,GNMI-thema,Status matrix,Definitief advies,Akkoorden,% van 85,% van 88,Int. 1,Int. 2,Int. 3,Gem. alle,Gem. genoemd,Direct,Via regio,Regio’s materieel,Aanbevolen interventie,Bewijs-ID’s,Representatieve passages
C1,Specifiek werkterrein,"Verkeersveiligheid, veilige inrichting en handhaving",vastgezet,intensiveren,81,0.9529411764705882,0.9204545454545454,5,31,45,2.376470588235294,2.493827160493827,42,39,4,"Bundel ontwerpkennis, gedragsaanpak, juridische borging en monitoring voor 30 km/GOW30, schoolroutes en veilige inrichting.","H14-2982 | Tilburg, p. 53; H14-1721 | Haarlem, p. 17; H14-2359 | Midden-Groningen, p. 8","Tilburg (Tilburg.pdf, PDF p. 53): “Na ingebruikname monitoren we het gebruik van openbaar vervoer, verkeersafwikkeling, geluid, luchtkwaliteit, verkeersveiligheid en de economische effecten op de binnenstad, waaronder koopstromen.”
Haarlem (Haarlem.pdf, PDF p. 17): “→We investeren in meer veiligheid voor voetgangers, fietsers en auto’s door budget vrij te maken voor gerichte ingrepen, met name op drukke kruispunten, school- en sportroutes.”
Midden-Groningen (Midden Groningen.pdf, PDF p. 8): “We investeren gericht in bereikbaarheid, verkeersveiligheid en infrastructuur. Daarbij maken we duidelijke keuzes in prioriteit en fasering.”"
C2,Specifiek werkterrein,"Multimodale bereikbaarheid, OV en toegankelijkheid",vastgezet,intensiveren,84,0.9882352941176471,0.9545454545454546,2,4,78,2.8705882352941177,2.9047619047619047,44,40,4,"Versterk de gezamenlijke lijn voor toegankelijk OV, hubs, kleine kernen en structurele financiering met Rijk, provincies en vervoerders.","H14-0399 | Amsterdam, p. 53; H14-1744 | Haarlem, p. 28; H14-0661 | Beverwijk, p. 15","Amsterdam (Amsterdam.pdf, PDF p. 53): “We investeren in deelauto’s, deelbakfietsen en deelscooters, met vaste hubs in drukke gebieden om verrommeling te voorkomen. We monitoren dit goed en als dit tot overlast leidt sturen we bij.”
Haarlem (Haarlem.pdf, PDF p. 28): “Nachtcultuur 100 n 240 n 240 n i Investeren in Waarderpolder, groen, OV (dotatie aan een fonds) 3.000 n i Plan van aanpak verbeteren van de dienstverlening - ondernemersloket 50 n 50 n i”
Beverwijk (Beverwijk.pdf, PDF p. 15): “We maken een budget vrij voor voorzieningen op het strand, zoals openbare toiletten, omkleedvoorzieningen, oplaadpunten voor elektrische fietsen en verschoonplekken voor jonge kinderen.”"
C3,Specifiek werkterrein,"Duurzame, actieve en gedeelde mobiliteit en zero-emissie",vastgezet,actualiseren of verbreden,80,0.9411764705882353,0.9090909090909091,4,33,43,2.3411764705882354,2.4875,44,36,4,"Integreer duurzaamheid en zero-emissie volledig in dit cluster en werk met uitvoerbare modellen voor lopen, fietsen, delen, laden en schone voertuigen.","H14-0399 | Amsterdam, p. 53; H14-0661 | Beverwijk, p. 15; H14-2220 | Maastricht, p. 15","Amsterdam (Amsterdam.pdf, PDF p. 53): “We investeren in deelauto’s, deelbakfietsen en deelscooters, met vaste hubs in drukke gebieden om verrommeling te voorkomen. We monitoren dit goed en als dit tot overlast leidt sturen we bij.”
Beverwijk (Beverwijk.pdf, PDF p. 15): “We maken een budget vrij voor voorzieningen op het strand, zoals openbare toiletten, omkleedvoorzieningen, oplaadpunten voor elektrische fietsen en verschoonplekken voor jonge kinderen.”
Maastricht (Maastricht.pdf, PDF p. 15): “In lijn met de Omgevingsvisie reserveren we op termijn (een deel van) de Vrijthofparkeergarage voor parkeergelegenheid voor bewoners, specifieke doelgroepen en/of voor fietsparkeren.”"
C4,Specifiek werkterrein,"Mobiliteit, woningbouw, ruimte, parkeren en leefbaarheid",vastgezet,intensiveren,84,0.9882352941176471,0.9545454545454546,3,29,52,2.552941176470588,2.5833333333333335,44,40,4,"Maak woningbouw, ruimte, parkeren en leefbaarheid één uitvoeringsagenda met toepasbare afwegingskaders.","H14-0399 | Amsterdam, p. 53; H14-2956 | Stein, p. 34; H14-3552 | Zaanstad, p. 5","Amsterdam (Amsterdam.pdf, PDF p. 53): “We investeren in deelauto’s, deelbakfietsen en deelscooters, met vaste hubs in drukke gebieden om verrommeling te voorkomen. We monitoren dit goed en als dit tot overlast leidt sturen we bij.”
Stein (Stein.pdf, PDF p. 34): “Weerbare samenleving Structureel PM PM PM PM Verkeer en vervoer Herstel oude dorpskernen Oud-Elsloo en Oud Stein incl. parkeeroplossingen Structureel 4.500.000 € 2.000 € 28.900 € 115.000 €”
Zaanstad (Zaanstad.pdf, PDF p. 5): “Het helpt woningbouwprojecten financieel haalbaar te maken. We onderzoeken hoe het transformatiefonds bij woningbouw een bijdrage kan leveren aan het oplossen van het parkeervraagstuk.”"
C5,Specifiek werkterrein,"Mobiliteitsdata, digitalisering, kennis en uitvoeringskracht",vastgezet,actualiseren of verbreden,82,0.9647058823529412,0.9318181818181818,1,19,62,2.6470588235294117,2.7439024390243905,43,39,4,"Integreer governance, financiering en interbestuurlijke samenwerking; maak een herkenbaar spoor voor data/AI en uitvoeringskracht.","H14-0399 | Amsterdam, p. 53; H14-2526 | Overbetuwe, p. 7; H14-1744 | Haarlem, p. 28","Amsterdam (Amsterdam.pdf, PDF p. 53): “We investeren in deelauto’s, deelbakfietsen en deelscooters, met vaste hubs in drukke gebieden om verrommeling te voorkomen. We monitoren dit goed en als dit tot overlast leidt sturen we bij.”
Overbetuwe (Overbetuwe_Coalitieakkoord_2026-2030.pdf, PDF p. 7): “De uitvoering van het mobiliteitsplan vraagt om investeringen. Voor de komende jaren is in de basis voldoende budget beschikbaar, mede dankzij bijdragen van provincie en andere overheden.”
Haarlem (Haarlem.pdf, PDF p. 28): “Nachtcultuur 100 n 240 n 240 n i Investeren in Waarderpolder, groen, OV (dotatie aan een fonds) 3.000 n i Plan van aanpak verbeteren van de dienstverlening - ondernemersloket 50 n 50 n i”"
W1,Specifiek werkterrein,Taxi,vastgezet,laagfrequent maar als niche behouden,3,0.03529411764705882,0.03409090909090909,1,2,0,0.058823529411764705,1.6666666666666667,3,0,0,"Behoud Taxi als tijdelijke expertgroep en kennisuitwisseling rond wetgeving, toezicht, data, sociale veiligheid en zero-emissie.","H14-1708 | Haarlem, p. 14; H14-0381 | Amsterdam, p. 52; H14-0867 | Den Haag, p. 14","Haarlem (Haarlem.pdf, PDF p. 14): “✓ We voeren de geplande nulemissiezone brom- en snorfiets in en volgen de routekaart voor nieuwe categorieën (touring cars, taxi’s, etc.”
Amsterdam (Amsterdam.pdf, PDF p. 52): “We onderzoeken hoe we het aantal leeg rondrijdende taxi’s kunnen verminderen en werken aan een kwaliteitscertificeringsysteem.”
Den Haag (Den Haag.pdf, PDF p. 14): “Straatraces, illegale taxi’s, te hard rijden, gevaarlijk rijgedrag, opgevoerde scooters en hinderlijke fatbikes zorgen voor veel (geluids)overlast in onze stad, bijvoorbeeld in gebieden zoals de Stationsbuurt.”"
W2,Specifiek werkterrein,Stadslogistiek,vastgezet,afbouwen,15,0.17647058823529413,0.17045454545454544,6,9,0,0.2823529411764706,1.6,14,1,1,Bouw Stadslogistiek als afzonderlijke lijn af en borg bruikbare onderdelen onder duurzaamheid/zero-emissie en ruimte/leefomgeving.,"H14-2974 | Tilburg, p. 48; H14-1121 | Dordrecht, p. 57; H14-0936 | Deventer, p. 21","Tilburg (Tilburg.pdf, PDF p. 48): “Met een actieve inzet op circulaire (logistieke) stromen, stadslogistiek en het stimuleren van innovatieve maakeconomie met bijzondere aandacht voor textiel. We verbeteren onze dienstverlening in regionaal verband en zetten hiervoor één centraal, integraal en toegankelijk ondernemersloket op.”
Dordrecht (Dordrecht.pdf, PDF p. 57): “We investeren in maatregelen die inwoners en ondernemers helpen de overstap naar schoner vervoer te maken. Vrachtverkeer in de binnenstad verminderen we met slimme stadslogistiek.”
Deventer (Deventer.pdf, PDF p. 21): “In overleg met ondernemers voeren we in de binnenstad eind 2027 een zeroemissiezone in om de stadslogistiek te verduurzamen. We onderzoeken de passende plekken voor goed verspreide pakketkluizen in stad en dorpen.”"
W3,Specifiek werkterrein,Parkeren,vastgezet,actualiseren of verbreden,68,0.8,0.7727272727272727,2,34,32,1.9529411764705882,2.4411764705882355,41,27,4,"Behoud Parkeren en actualiseer normen, toegankelijkheid, laden, deelmobiliteit, betaalbaarheid en handhaving.","H14-0399 | Amsterdam, p. 53; H14-2956 | Stein, p. 34; H14-3552 | Zaanstad, p. 5","Amsterdam (Amsterdam.pdf, PDF p. 53): “We investeren in deelauto’s, deelbakfietsen en deelscooters, met vaste hubs in drukke gebieden om verrommeling te voorkomen. We monitoren dit goed en als dit tot overlast leidt sturen we bij.”
Stein (Stein.pdf, PDF p. 34): “Weerbare samenleving Structureel PM PM PM PM Verkeer en vervoer Herstel oude dorpskernen Oud-Elsloo en Oud Stein incl. parkeeroplossingen Structureel 4.500.000 € 2.000 € 28.900 € 115.000 €”
Zaanstad (Zaanstad.pdf, PDF p. 5): “Het helpt woningbouwprojecten financieel haalbaar te maken. We onderzoeken hoe het transformatiefonds bij woningbouw een bijdrage kan leveren aan het oplossen van het parkeervraagstuk.”"
W4,Specifiek werkterrein,Verkeersjuridische zaken,vastgezet,laagfrequent maar als niche behouden,1,0.011764705882352941,0.011363636363636364,0,1,0,0.023529411764705882,2,1,0,0,"Behoud expertgroep en juridisch loket voor modelbesluiten, jurisprudentie en scholing; nichewaarde hangt niet af van akkoordfrequentie.","H14-0048 | Alkmaar, p. 27","Alkmaar (Alkmaar.pdf, PDF p. 27): “Camera’s en verkeersregels blijven zoals ze nu zijn. z Fatbikes: zodra landelijke regelgeving of jurisprudentie daartoe mogelijkheden biedt, gaan we fatbike-overlast actief tegen. z Singels 30 km/u: de proef op de Kennemersingel is positief geëvalueerd.”"
W5,Specifiek werkterrein,Aanpak geluidsoverlast,vastgezet,onderbrengen bij een ander thema,8,0.09411764705882353,0.09090909090909091,2,5,1,0.17647058823529413,1.875,5,3,3,"Beëindig Geluidsoverlast als afzonderlijke lijn en borg meet-, gedrags- en handhavingskennis in leefomgeving, duurzaamheid en verkeersveiligheid.","H14-2982 | Tilburg, p. 53; H14-0908 | Deventer, p. 19; H14-1980 | Horst aan de Maas, p. 79","Tilburg (Tilburg.pdf, PDF p. 53): “Na ingebruikname monitoren we het gebruik van openbaar vervoer, verkeersafwikkeling, geluid, luchtkwaliteit, verkeersveiligheid en de economische effecten op de binnenstad, waaronder koopstromen.”
Deventer (Deventer.pdf, PDF p. 19): “We zetten ons in voor de realisatie van een treinstation in Bathmen en verdubbeling van het spoor richting Olst. We lobbyen voor andere routes voor goederenvervoer over het spoor die niet dwars door de stad gaan vanwege geluidshinder en veiligheidsrisico’s.”
Horst aan de Maas (Horst aan de Maas.pdf, PDF p. 79): “• We pakken grote verkeersknelpunten op korte termijn aan, zoals de afritten van de A73 Horst-Noord, drukke kruisingen en geluidsoverlast. Ook de verbreding van de A67 vinden we van belang.”"
