,,
GNMI onderzoek mobiliteit verkeer en infrastructuur,,
Concept 1.0 definitief | H14 gesloten op 17 september 2026 | GNMI-matrix inhoudelijk gepeild op 15 augustus 2026 en vastgesteld op 27 augustus 2026.,,
,,
Onderdeel,Uitkomst,Toelichting
Status,Concept 1.0 definitief,De cijfermatige resultaten zijn na H14 definitief binnen de vastgezette populatie. Het rapport blijft concept voor de eindcontrole van de opdrachtgever.
Inhoudelijke noemer,85,44 rechtstreeks aangesloten gemeenten en 41 gemeenten via vier analyseerbare regio’s.
Verwachte bronnen,88,"Dekkingsgraad 85/88. Dit is uitsluitend een bronbereik, geen tweede inhoudelijke noemer."
Bewijspassages,3672,Iedere positieve akkoord–themacombinatie heeft ten minste één controleerbare passage.
Doorgenomen pagina’s,2831,73 pagina’s zijn met OCR verwerkt.
Score A,0–10,Algemene positionering van mobiliteit en infrastructuur.
Score B,0–10,Aansluiting bij de vijf vooraf vastgezette GNMI-prioriteitsclusters.
Score C-alt,0–10,"Ontvlochten akkoorddimensies T04, T08, T09 en T10; elk 0, 1,25 of 2,5 punt."
Totaalscore,0–30,"A + B + C-alt. Directe gemeenten, regiogemeenten en regio’s worden afzonderlijk gerangschikt."
Regioscore,Gemiddelde,"Uitsluitend gemiddelde van afzonderlijke gemeentelijke scores; daarnaast mediaan, minimum, maximum en spreiding."
Achterhoek,Voorlopig/niet vergelijkbaar,Geen betrouwbare gemeentelijke onderlaag; geen cijfermatige score geconstrueerd.
Voerendaal,Meegenomen,De conceptversie is volgens de opdrachtgever ongewijzigd vastgesteld.
Ontbrekend 1,Edam-Volendam — ontbreekt,Steeds onder totalen vermelden.
Ontbrekend 2,Leidschendam-Voorburg — ontbreekt,Steeds onder totalen vermelden.
Niet inhoudelijk,Leiden — geen inhoudelijk akkoord gesloten,Steeds onder totalen vermelden.
