,,,,,,,,,,,,,
Ranglijst rechtstreeks aangesloten gemeenten,,,,,,,,,,,,,
"Alleen de 44 geanalyseerde rechtstreeks aangesloten gemeenten. Rangvolgorde: totaal, A5, Score B, aantal intensiteit-3-thema’s, alfabetisch.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Volgorde,Gedeelde rang,Gemeente,Route,Regio,Provincie,A /10,B /10,C-alt /10,Totaal /30,A5,# int.3,Bron-ID,Bestand
1,1,Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,10,10,10,30,2,9,SRC-008,Amsterdam.pdf
2,1,Eindhoven,Rechtstreeks,Rechtstreeks,Noord-Brabant,10,10,10,30,2,9,SRC-032,Eindhoven.pdf
3,3,Rotterdam,Rechtstreeks,Rechtstreeks,Zuid-Holland,10,10,10,30,2,8,SRC-070,Rotterdam.pdf
4,4,Dordrecht,Rechtstreeks,Rechtstreeks,Zuid-Holland,10,10,10,30,2,7,SRC-027,Dordrecht.pdf
5,4,Waalwijk,Rechtstreeks,Rechtstreeks,Noord-Brabant,10,10,10,30,2,7,SRC-084,Waalwijk.pdf
6,6,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,10,10,10,30,2,5,SRC-002,Alkmaar.pdf
7,7,Groningen,Rechtstreeks,Rechtstreeks,Groningen,9,10,10,29,2,8,SRC-036,Groningen.pdf
8,8,Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,9,10,10,29,2,7,SRC-005,Alphen.pdf
9,9,Coevorden,Rechtstreeks,Rechtstreeks,Drenthe,9,10,10,29,2,6,SRC-021,Coevorden.pdf
10,10,Venlo,Rechtstreeks,Rechtstreeks,Limburg,9,10,10,29,2,4,SRC-080,Venlo.pdf
11,11,Urk,Rechtstreeks,Rechtstreeks,Flevoland,10,9,10,29,2,3,SRC-076,Urk.pdf
12,12,Middelburg,Rechtstreeks,Rechtstreeks,Zeeland,10,10,8.75,28.75,2,4,SRC-054,Middelburg.pdf
13,13,Zaanstad,Rechtstreeks,Rechtstreeks,Noord-Holland,10,10,8.75,28.75,2,3,SRC-089,Zaanstad.pdf
14,14,Houten,Rechtstreeks,Rechtstreeks,Utrecht,8,10,10,28,2,3,SRC-045,Houten.pdf
15,15,Den Haag,Rechtstreeks,Rechtstreeks,Zuid-Holland,9,9,10,28,2,2,SRC-023,Den Haag.pdf
16,16,Utrecht,Rechtstreeks,Rechtstreeks,Utrecht,9,10,8.75,27.75,2,3,SRC-077,Utrecht.pdf
17,17,Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,10,10,7.5,27.5,2,6,SRC-009,Apeldoorn.pdf
18,17,Tilburg,Rechtstreeks,Rechtstreeks,Noord-Brabant,10,10,7.5,27.5,2,6,SRC-075,Tilburg.pdf
19,19,Beverwijk,Rechtstreeks,Rechtstreeks,Noord-Holland,7,10,10,27,1,1,SRC-018,Beverwijk.pdf
20,20,Emmen,Rechtstreeks,Rechtstreeks,Drenthe,8,10,8.75,26.75,2,2,SRC-033,Emmen.pdf
21,21,Enschede,Rechtstreeks,Rechtstreeks,Overijssel,10,10,6.25,26.25,2,2,SRC-034,Enschede.pdf
22,22,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,8,10,7.5,25.5,2,4,SRC-024,Deventer.pdf
23,23,Doetinchem,Rechtstreeks,Rechtstreeks,Gelderland,8,10,7.5,25.5,1,1,SRC-026,Doetinchem.pdf
24,24,Nijmegen,Rechtstreeks,Rechtstreeks,Gelderland,9,10,6.25,25.25,2,2,SRC-058,Nijmegen.pdf
25,25,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,10,10,5,25,2,6,SRC-019,Breda.pdf
26,26,Haarlem,Rechtstreeks,Rechtstreeks,Noord-Holland,10,10,5,25,2,5,SRC-038,Haarlem.pdf
27,27,Gouda,Rechtstreeks,Rechtstreeks,Zuid-Holland,7,10,7.5,24.5,1,0,SRC-091,Gouda_Samenlevingsakkoord_2026-2030.pdf
28,28,Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,8,10,6.25,24.25,1,1,SRC-010,Arnhem.pdf
29,29,Purmerend,Rechtstreeks,Rechtstreeks,Noord-Holland,8,10,6.25,24.25,1,0,SRC-063,Purmerend.pdf
30,30,Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,9,10,5,24,2,3,SRC-007,Amesfoort.pdf
31,31,Hardenberg,Rechtstreeks,Rechtstreeks,Overijssel,9,10,5,24,2,2,SRC-039,Harderberg.pdf
32,32,Almere,Rechtstreeks,Rechtstreeks,Flevoland,7,9,7.5,23.5,1,0,SRC-004,Almere 2026.pdf
33,33,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,8,9,6.25,23.25,2,2,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf
34,34,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,7,9,6.25,22.25,1,1,SRC-001,Aa en Hunze.pdf
35,35,Ede,Rechtstreeks,Rechtstreeks,Gelderland,7,10,5,22,1,1,SRC-030,Ede.pdf
36,36,Culemborg,Rechtstreeks,Rechtstreeks,Gelderland,7,10,5,22,1,0,SRC-022,Culembourg.pdf
37,37,Vijfheerenlanden,Rechtstreeks,Rechtstreeks,Utrecht,8,9,5,22,1,0,SRC-082,Vijfheerenland.pdf
38,38,Noordoostpolder,Rechtstreeks,Rechtstreeks,Flevoland,10,8,3.75,21.75,2,2,SRC-061,Noordoostpolder.pdf
39,39,Leeuwarden,Rechtstreeks,Rechtstreeks,Fryslân,9,10,2.5,21.5,1,1,SRC-048,Leeuwarden.pdf
40,40,Helmond,Rechtstreeks,Rechtstreeks,Noord-Brabant,7,9,5,21,1,0,SRC-041,Helmond.pdf
41,41,Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,8,9,3.75,20.75,2,2,SRC-006,Altena.pdf
42,42,Almelo,Rechtstreeks,Rechtstreeks,Overijssel,8,9,2.5,19.5,1,1,SRC-003,Almelo.pdf
43,43,Barneveld,Rechtstreeks,Rechtstreeks,Gelderland,6,9,2.5,17.5,1,0,SRC-011,Barneveld.pdf
44,44,Lelystad,Rechtstreeks,Rechtstreeks,Flevoland,6,3,3.75,12.75,1,0,SRC-050,Lelystad.pdf
