,,,,,,,,,,,,,
Ranglijst gemeenten via een aangesloten regio,,,,,,,,,,,,,
Eigen ranglijst van de 41 geanalyseerde regiogemeenten; niet gemengd met de rechtstreekse gemeenten.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Volgorde,Gedeelde rang,Gemeente,Route,Regio,Provincie,A /10,B /10,C-alt /10,Totaal /30,A5,# int.3,Bron-ID,Bestand
1,1,Stein,Via regio,RMO Zuid-Limburg,Limburg,9,10,10,29,2,9,SRC-074,Stein.pdf
2,2,Midden-Groningen,Via regio,Regio Groningen-Assen,Groningen,9,10,10,29,2,8,SRC-055,Midden Groningen.pdf
3,3,Rheden,Via regio,Regio Arnhem-Nijmegen,Gelderland,9,10,10,29,2,7,SRC-069,Rheden.pdf
4,3,Venray,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,9,10,10,29,2,7,SRC-081,Venray.pdf
5,5,Horst aan de Maas,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,9,10,10,29,2,6,SRC-044,Horst aan de Maas.pdf
6,6,Eijsden-Margraten,Via regio,RMO Zuid-Limburg,Limburg,9,10,10,29,2,5,SRC-031,Eijsden-Margraten.pdf
7,7,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,8,10,10,28,2,7,SRC-043,Hogeland.pdf
8,8,Zevenaar,Via regio,Regio Arnhem-Nijmegen,Gelderland,8,10,10,28,2,5,SRC-090,Zevenaar.pdf
9,9,Overbetuwe,Via regio,Regio Arnhem-Nijmegen,Gelderland,9,10,8.75,27.75,2,4,SRC-092,Overbetuwe_Coalitieakkoord_2026-2030.pdf
10,10,Maastricht,Via regio,RMO Zuid-Limburg,Limburg,9,8,10,27,2,5,SRC-052,Maastricht.pdf
11,11,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,9,10,7.5,26.5,2,8,SRC-040,Heerlen.pdf
12,12,Meerssen,Via regio,RMO Zuid-Limburg,Limburg,9,10,7.5,26.5,2,6,SRC-053,Meerssen.pdf
13,12,Peel en Maas,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,9,10,7.5,26.5,2,6,SRC-062,Peel en Maas.pdf
14,12,Valkenburg aan de Geul,Via regio,RMO Zuid-Limburg,Limburg,9,10,7.5,26.5,2,6,SRC-079,Valkenburg aan de Geul.pdf
15,15,Wijchen,Via regio,Regio Arnhem-Nijmegen,Gelderland,9,10,7.5,26.5,2,5,SRC-088,Wijchen.pdf
16,16,Landgraaf,Via regio,RMO Zuid-Limburg,Limburg,9,10,7.5,26.5,2,4,SRC-047,Landgraaf.pdf
17,17,Montferland,Via regio,Regio Arnhem-Nijmegen,Gelderland,8,9,8.75,25.75,2,2,SRC-056,Montferland.pdf
18,18,Druten,Via regio,Regio Arnhem-Nijmegen,Gelderland,8,10,7.5,25.5,2,5,SRC-028,Druten.pdf
19,19,Mook en Middelaar,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,8,10,7.5,25.5,2,2,SRC-057,Mook en middelaar.pdf
20,20,Gulpen-Wittem,Via regio,RMO Zuid-Limburg,Limburg,9,10,5,24,2,6,SRC-037,Gulpen-Wittem.pdf
21,21,Lingewaard,Via regio,Regio Arnhem-Nijmegen,Gelderland,9,10,5,24,2,5,SRC-051,Lingewaard.pdf
22,22,Beekdaelen,Via regio,RMO Zuid-Limburg,Limburg,9,10,5,24,2,4,SRC-013,Beekdaelen.pdf
