,,,,,,,,,,,,
Top vijf thema’s per regionale onderlaag,,,,,,,,,,,,
Per regio afzonderlijk berekend uit de oorspronkelijke gemeentelijke akkoorden. Achterhoek heeft geen geconstrueerd profiel.,,,,,,,,,,,,
,,,,,,,,,,,,
Regio,Rang,Code,Thema,n,Aanwezig,Prevalentie,Gem. intensiteit,Mediaan,Min,Max,SD,Bandbreedte
RMO Noord-Limburg / Trendsportal,1,T01,Verkeersveiligheid en veilig verkeersgedrag,7,7,1,3,3,3,3,0,0
RMO Noord-Limburg / Trendsportal,2,T11,"Uitvoering, samenwerking, financiering en kennis",7,7,1,3,3,3,3,0,0
RMO Noord-Limburg / Trendsportal,3,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",7,7,1,2.7142857142857144,3,2,3,0.45175395145262565,1
RMO Noord-Limburg / Trendsportal,4,T02,"Lopen, fietsen en actieve mobiliteit",7,6,0.8571428571428571,2.142857142857143,2,0,3,0.989743318610787,3
RMO Noord-Limburg / Trendsportal,5,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",7,6,0.8571428571428571,2.142857142857143,2,0,3,0.989743318610787,3
Regio Arnhem-Nijmegen,1,T01,Verkeersveiligheid en veilig verkeersgedrag,15,14,0.9333333333333333,2.466666666666667,3,0,3,0.8055363982396382,3
Regio Arnhem-Nijmegen,2,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",15,14,0.9333333333333333,2.2666666666666666,2,0,3,0.771722460186015,3
Regio Arnhem-Nijmegen,3,T11,"Uitvoering, samenwerking, financiering en kennis",15,13,0.8666666666666667,2.3333333333333335,3,0,3,1.0110500592068734,3
Regio Arnhem-Nijmegen,4,T02,"Lopen, fietsen en actieve mobiliteit",15,13,0.8666666666666667,2.1333333333333333,2,0,3,0.9568466729604882,3
Regio Arnhem-Nijmegen,5,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",15,12,0.8,2.1333333333333333,3,0,3,1.1469767022723503,3
Regio Groningen-Assen,1,T10,"Beheer, onderhoud en civiele infrastructuur",3,3,1,3,3,3,3,0,0
Regio Groningen-Assen,2,T01,Verkeersveiligheid en veilig verkeersgedrag,3,3,1,2.6666666666666665,3,2,3,0.4714045207910317,1
Regio Groningen-Assen,3,T11,"Uitvoering, samenwerking, financiering en kennis",3,3,1,2.6666666666666665,3,2,3,0.4714045207910317,1
Regio Groningen-Assen,4,T02,"Lopen, fietsen en actieve mobiliteit",3,3,1,2.3333333333333335,3,1,3,0.9428090415820634,2
Regio Groningen-Assen,5,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",3,3,1,2.3333333333333335,2,2,3,0.4714045207910317,1
RMO Zuid-Limburg,1,T11,"Uitvoering, samenwerking, financiering en kennis",16,16,1,2.8125,3,2,3,0.3903123748998999,1
RMO Zuid-Limburg,2,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",16,16,1,2.75,3,2,3,0.4330127018922193,1
RMO Zuid-Limburg,3,T01,Verkeersveiligheid en veilig verkeersgedrag,16,15,0.9375,2.5,3,0,3,0.8660254037844386,3
RMO Zuid-Limburg,4,T03,"Openbaar, collectief en vraagafhankelijk vervoer",16,15,0.9375,2.125,2,0,3,0.8569568250501305,3
RMO Zuid-Limburg,5,T02,"Lopen, fietsen en actieve mobiliteit",16,14,0.875,2.1875,2.5,0,3,1.0135796712641785,3
