,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controleblad definitieve scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De formules volgen H01 en de goedgekeurde ontvlochten C-alt. Aanpassen van een thema-intensiteit herberekent A, B, C-alt en totaal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nr,Gemeente,Route,Regio,Provincie,Bron-ID,Bestand,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,Mobiliteitssectie,C5-anker,A1,A2,A3,A4,A5,Score A,B1,B2,B3,B4,B5,Score B,CA1 T04,CA2 T08,CA3 T09,CA4 T10,Score C-alt,Totaal,# int.3
1,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,2,2,2,2,0,1,0,1,0,3,3,Nee,Ja,1,2,2,1,1,7,2,2,2,1,2,9,2.5,1.25,0,2.5,6.25,22.25,1
2,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,3,3,2,2,3,3,2,3,2,2,3,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,30,5
3,Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,1,3,2,2,2,2,2,0,0,0,3,Ja,Ja,2,2,2,1,1,8,1,2,2,2,2,9,2.5,0,0,0,2.5,19.5,1
4,Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,2,2,2,2,2,2,2,2,2,0,1,Ja,Ja,2,2,1,1,1,7,2,2,2,2,1,9,2.5,2.5,2.5,0,7.5,23.5,0
5,Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,3,3,2,3,3,3,3,2,2,3,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,29,7
6,Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,2,2,3,1,0,1,1,3,0,0,3,Ja,Ja,2,2,1,1,2,8,2,2,2,1,2,9,1.25,2.5,0,0,3.75,20.75,2
7,Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,2,2,3,2,3,3,1,2,0,0,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,0,0,5,24,3
8,Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,3,3,3,3,3,3,3,3,2,3,3,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,30,9
9,Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,3,3,3,3,2,3,3,2,2,0,2,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,2.5,2.5,0,7.5,27.5,6
10,Arnhem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-010,Arnhem.pdf,2,2,2,2,3,2,2,1,2,0,2,Ja,Ja,2,2,2,1,1,8,2,2,2,2,2,10,2.5,1.25,2.5,0,6.25,24.25,1
11,Barneveld,Rechtstreeks,Rechtstreeks,Gelderland,SRC-011,Barneveld.pdf,2,1,2,1,2,2,1,0,0,1,2,Nee,Ja,1,2,1,1,1,6,2,2,1,2,2,9,1.25,0,0,1.25,2.5,17.5,0
12,Beek,Via regio,RMO Zuid-Limburg,Limburg,SRC-012,Beek.pdf,1,0,0,0,0,2,0,1,0,0,2,Nee,Nee,1,1,1,1,1,5,1,1,0,2,1,5,0,1.25,0,0,1.25,11.25,0
13,Beekdaelen,Via regio,RMO Zuid-Limburg,Limburg,SRC-013,Beekdaelen.pdf,3,3,2,0,0,3,0,2,0,3,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,0,2.5,0,2.5,5,24,4
14,Beesel,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-014,Beesel.pdf,3,2,0,2,0,3,0,0,3,0,3,Nee,Ja,1,2,2,2,2,9,2,1,2,2,2,9,2.5,0,2.5,0,5,23,3
15,Berg en Dal,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-015,Berg en Dal.pdf,3,2,2,3,2,2,0,0,2,0,3,Nee,Ja,1,2,2,1,2,8,2,2,2,2,2,10,2.5,0,2.5,0,5,23,2
16,Bergen (L.),Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-016,Bergen.pdf,3,0,0,0,0,2,0,0,0,3,3,Nee,Ja,1,1,2,1,2,7,2,0,0,2,2,6,0,0,0,2.5,2.5,15.5,2
17,Beuningen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-017,Beuningen.pdf,3,2,1,2,2,2,2,0,0,2,2,Nee,Ja,1,2,2,1,1,7,2,2,2,2,2,10,2.5,0,0,2.5,5,22,1
18,Beverwijk,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-018,Beverwijk.pdf,2,3,2,2,2,2,2,2,2,2,3,Nee,Ja,1,2,2,1,1,7,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,27,1
19,Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,3,3,2,3,3,3,3,0,0,2,3,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,0,0,2.5,5,25,6
20,Brunssum,Via regio,RMO Zuid-Limburg,Limburg,SRC-020,Brunssum.pdf,3,2,2,2,3,3,0,2,0,0,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,0,0,5,24,3
21,Coevorden,Rechtstreeks,Rechtstreeks,Drenthe,SRC-021,Coevorden.pdf,3,3,3,3,3,2,2,2,2,3,3,Ja,Ja,2,2,2,1,2,9,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,29,6
22,Culemborg,Rechtstreeks,Rechtstreeks,Gelderland,SRC-022,Culembourg.pdf,2,2,1,2,2,2,2,0,0,2,3,Nee,Ja,1,2,2,1,1,7,2,2,2,2,2,10,2.5,0,0,2.5,5,22,0
23,Den Haag,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-023,Den Haag.pdf,2,2,2,2,3,2,2,2,2,3,2,Ja,Nee,2,2,2,1,2,9,2,2,2,2,1,9,2.5,2.5,2.5,2.5,10,28,2
24,Deventer,Rechtstreeks,Rechtstreeks,Overijssel,SRC-024,Deventer.pdf,3,3,3,3,2,2,2,2,2,0,2,Nee,Ja,1,2,2,1,2,8,2,2,2,2,2,10,2.5,2.5,2.5,0,7.5,25.5,4
25,Doesburg,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-025,Doesburg.pdf,2,2,2,0,2,2,2,2,1,0,0,Nee,Nee,1,2,0,1,1,5,2,2,2,2,0,8,0,2.5,1.25,0,3.75,16.75,0
26,Doetinchem,Rechtstreeks,Rechtstreeks,Gelderland,SRC-026,Doetinchem.pdf,2,2,2,2,3,2,2,0,2,2,3,Ja,Ja,2,2,2,1,1,8,2,2,2,2,2,10,2.5,0,2.5,2.5,7.5,25.5,1
27,Dordrecht,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-027,Dordrecht.pdf,3,3,3,3,3,3,2,2,3,2,3,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,30,7
28,Druten,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-028,Druten.pdf,3,3,2,3,3,2,0,3,0,2,3,Nee,Ja,1,2,2,1,2,8,2,2,2,2,2,10,2.5,2.5,0,2.5,7.5,25.5,5
29,Duiven,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-029,Duiven.pdf,2,2,1,3,2,3,0,0,0,0,2,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,0,0,0,2.5,21.5,2
