,,,,,,,,,,,,,,,,,,,,,,,
Definitieve bottom-up themarangschikking,,,,,,,,,,,,,,,,,,,,,,,
Relevantie = 40% prevalentie + 25% intensiteit + 15% prominentie + 10% provinciale spreiding + 10% inwonergewogen collectieve relevantie. T11 is een uitvoeringsdimensie en geen kandidaat.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Rang,Code,Thema,Top vijf,Aanwezig,% van 85,% van 88,Int. 0,Int. 1,Int. 2,Int. 3,Gem. intensiteit alle,Gem. indien aanwezig,Gem. prominentie,Prominent ≥2,Provincies,Macrospreiding,Collectieve relevantie,Relevantie /100,Direct,Via regio,Dominante subthema’s,Dominante aard,Voorbeeldbewijs
1,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",Ja,83,0.9764705882352941,0.9431818181818182,2,2,36,45,2.458823529411765,2.5180722891566263,2.7176470588235295,79,12,0.975378787878788,0.9895382841630221,92.78642562237889,43,40,"Mobiliteit bij woningbouw en gebiedsontwikkeling (71); Leefbaarheid, gezondheid en ruimtelijke kwaliteit (65); Herverdeling van openbare ruimte (59); Overig binnen afbakening (56)",Lokale kwestie (295); Beleidsopdracht (289); Probleem (93); Samenwerkingsvraag (70),"H14-3552 | Zaanstad, p. 5; H14-2220 | Maastricht, p. 15; H14-2177 | Lingewaard, p. 19; H14-1764 | Hardenberg, p. 9"
2,T01,Verkeersveiligheid en veilig verkeersgedrag,Ja,81,0.9529411764705882,0.9204545454545454,4,5,31,45,2.376470588235294,2.493827160493827,2.4,72,12,0.9510732323232323,0.9647654692930527,89.07995564361383,42,39,"Overig binnen afbakening (68); Schoolroutes en kwetsbare verkeersdeelnemers (56); Veilige inrichting en snelheid (52); Handhaving, educatie en veilig gedrag (27)",Beleidsopdracht (196); Lokale kwestie (190); Probleem (55); Samenwerkingsvraag (29),"H14-2982 | Tilburg, p. 53; H14-1721 | Haarlem, p. 17; H14-2359 | Midden-Groningen, p. 8; H14-3207 | Utrecht, p. 73"
3,T02,"Lopen, fietsen en actieve mobiliteit",Ja,78,0.9176470588235294,0.8863636363636364,7,4,33,41,2.2705882352941176,2.4743589743589745,2.4352941176470586,73,12,0.9403409090909091,0.9806594732867923,87.01392539240446,42,36,Fietsnetwerk en routekwaliteit (70); Voetgangersnetwerk en lopen (66); Doorfiets- en snelfietsroutes (16); Fietsparkeren (16),Lokale kwestie (304); Beleidsopdracht (290); Probleem (60); Samenwerkingsvraag (40),"H14-0661 | Beverwijk, p. 15; H14-2220 | Maastricht, p. 15; H14-1357 | Eindhoven, p. 39; H14-1721 | Haarlem, p. 17"
4,T03,"Openbaar, collectief en vraagafhankelijk vervoer",Ja,77,0.9058823529411765,0.875,8,6,38,33,2.1294117647058823,2.3506493506493507,2.3294117647058825,70,12,0.940719696969697,0.9708927932630839,84.74357588271997,43,34,"Bus en openbaar vervoer (70); Spoor, stations, tram en metro (58); Haltes, overstappen en OV-knooppunten (27); Vraagafhankelijk en doelgroepenvervoer (19)",Beleidsopdracht (214); Lokale kwestie (210); Samenwerkingsvraag (110); Probleem (57),"H14-1744 | Haarlem, p. 28; H14-2982 | Tilburg, p. 53; H14-1617 | Groningen, p. 27; H14-1102 | Dordrecht, p. 50"
5,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",Ja,75,0.8823529411764706,0.8522727272727273,10,3,38,34,2.1294117647058823,2.4133333333333336,2.3176470588235296,73,11,0.8712752525252525,0.9513324484890224,82.8535279905349,43,32,"Doorstroming, verkeersdruk en ontsluiting (65); Hoofdwegen, corridors en aansluitingen (53); Overig binnen afbakening (28); Verkeerscirculatie en autoluwte (18)",Lokale kwestie (152); Beleidsopdracht (140); Probleem (57); Samenwerkingsvraag (47),"H14-2770 | Rotterdam, p. 17; H14-2285 | Middelburg, p. 12; H14-2175 | Lingewaard, p. 19; H14-0349 | Amsterdam, p. 11"
6,T05,Parkeren en ruimte voor stilstaande mobiliteit,Nee,68,0.8,0.7727272727272727,17,2,34,32,1.9529411764705882,2.4411764705882355,2.1294117647058823,64,12,0.865719696969697,0.9476349439314693,77.05511503646264,41,27,"Parkeercapaciteit en parkeerdruk (60); Overig binnen afbakening (46); Tarieven, vergunningen en zones (32); Parkeernormen (25)",Lokale kwestie (289); Beleidsopdracht (250); Kennis- of capaciteitsvraag (53); Probleem (53),"H14-0399 | Amsterdam, p. 53; H14-2956 | Stein, p. 34; H14-3552 | Zaanstad, p. 5; H14-2220 | Maastricht, p. 15"
7,T07,"Duurzame, gedeelde en slimme mobiliteit",Nee,61,0.7176470588235294,0.6931818181818182,24,11,36,14,1.4705882352941178,2.0491803278688523,1.6352941176470588,52,12,0.7870580808080808,0.8944987933289935,65.95282364333153,38,23,Deelmobiliteit (37); Elektrificatie en zero-emissie (34); Overig binnen afbakening (27); Mobiliteitshubs en ketendiensten (13),Lokale kwestie (93); Beleidsopdracht (75); Innovatie of kans (36); Probleem (19),"H14-0399 | Amsterdam, p. 53; H14-2232 | Maastricht, p. 17; H14-2450 | Nijmegen, p. 8; H14-3406 | Voerendaal, p. 20"
8,T08,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,Nee,59,0.6941176470588235,0.6704545454545454,26,6,34,19,1.5411764705882354,2.2203389830508473,1.5294117647058822,48,11,0.7125,0.8219851015652574,63.599752976436896,32,27,Mensen met een beperking en ouderen (37); Bereikbaarheid van kernen en buitengebied (35); Overig binnen afbakening (18); Betaalbaarheid en minima (10),Lokale kwestie (73); Beleidsopdracht (44); Samenwerkingsvraag (43); Probleem (30),"H14-1285 | Eindhoven, p. 11; H14-0377 | Amsterdam, p. 52; H14-1692 | Gulpen-Wittem, p. 23; H14-3212 | Utrecht, p. 81"
9,T10,"Beheer, onderhoud en civiele infrastructuur",Nee,57,0.6705882352941176,0.6477272727272727,28,5,33,19,1.5058823529411764,2.245614035087719,1.4352941176470588,47,12,0.7541035353535354,0.735034700448042,61.44040196585892,31,26,"Wegenbeheer en onderhoudsniveau (47); Bruggen, kades, sluizen en civiele kunstwerken (16); Vervanging en renovatie (13); Overig binnen afbakening (10)",Beleidsopdracht (60); Lokale kwestie (47); Probleem (29); Investering (13),"H14-0383 | Amsterdam, p. 52; H14-2300 | Middelburg, p. 22; H14-0009 | Aa en Hunze, p. 12; H14-2015 | Houten, p. 35"
10,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",Nee,47,0.5529411764705883,0.5340909090909091,38,8,26,13,1.1647058823529413,2.106382978723404,1.3058823529411765,44,11,0.6030934343434343,0.7791226095233638,52.17510161513857,29,18,"Vracht- en regionale logistiek (29); Havens, scheepvaart en vaarwegen (24); Stads- en last-mile-logistiek (23); Overig binnen afbakening (11)",Lokale kwestie (124); Beleidsopdracht (88); Samenwerkingsvraag (59); Probleem (27),"H14-2822 | Rotterdam, p. 45; H14-1334 | Eindhoven, p. 14; H14-3007 | Tilburg, p. 55; H14-1076 | Dordrecht, p. 48"
